Values sent on the usb bus for gain:


-- MIC --

Totalmix    wValue (hex)    wValue (binary)    wValue (decimal)
0           0x00            00000000           0
1           0x20            00100000           32
2           0x40            01000000           64
3           0x01            00000001           1
4           0x21            00100001           33
5           0x41            01000001           65
6           0x02            00000010           2
7           0x22            00100010           34
8           0x42            01000010           66
9           0x03            00000011           3
10          0x23            00100011           35
11          0x43            01000011           67
12          0x04            00000100           4
13          0x24            00100100           36
14          0x44            01000100           68
15          0x05            00000101           5
16          0x25            00100101           37
17          0x45            01000101           69
18          0x06            00000110           6
19          0x26            00100110           38
20          0x46            01000110           70
21          0x07            00000111           7
22          0x27            00100111           39
23          0x47            01000111           71
24          0x08            00001000           8
25          0x28            00101000           40
26          0x48            01001000           72
27          0x09            00001001           9
28          0x29            00101001           41
29          0x49            01001001           73
30          0x0a            00001010           10
31          0x2a            00101010           42
32          0x4a            01001010           74
33          0x0b            00001011           11
34          0x2b            00101011           43
35          0x4b            01001011           75
36          0x0c            00001100           12
37          0x2c            00101100           44
38          0x4c            01001100           76
39          0x0d            00001101           13
40          0x2d            00101101           45
41          0x4d            01001101           77
42          0x0e            00001110           14
43          0x2e            00101110           46
44          0x4e            01001110           78
45          0x0f            00001111           15
46          0x2f            00101111           47
47          0x4f            01001111           79
48          0x10            00010000           16
49          0x30            00110000           48
50          0x50            01010000           80
51          0x11            00010001           17
52          0x31            00110001           49
53          0x51            01010001           81
54          0x12            00010010           18
55          0x32            00110010           50
56          0x52            01010010           82
57          0x13            00010011           19
58          0x33            00110011           51
59          0x53            01010011           83
60          0x14            00010100           20
61          0x34            00110100           52
62          0x54            01010100           84
63          0x74            01110100           116
64          0x94            10010100           148
65          0xb4            10110100           180



-- LINE --

Totalmix    wValue (hex)    wValue (binary)    wValue (decimal)
0           0x00            00000000           0
0.5         0x01            00000001           1
1           0x02            00000010           2
1.5         0x03            00000011           3
2           0x04            00000100           4
2.5         0x05            00000101           5
3           0x06            00000110           6
3.5         0x07            00000111           7
4           0x08            00001000           8
4.5         0x09            00001001           9
5           0x0a            00001010           10
5.5         0x0b            00001011           11
6           0x0c            00001100           12
6.5         0x0d            00001101           13
7           0x0e            00001110           14
7.5         0x1f            00011111           31
8           0x10            00010000           16
8.5         0x11            00010001           17
9           0x12            00010010           18
